n,UA_Search,UA_Insert,UA_Delete,UA_Min,UA_Max,UA_Pred,UA_Succ,SA_Search,SA_Insert,SA_Delete,SA_Min,SA_Max,SA_Pred,SA_Succ,SLLU_Search,SLLU_Insert,SLLU_Delete,SLLU_Min,SLLU_Max,SLLU_Pred,SLLU_Succ,SLLS_Search,SLLS_Insert,SLLS_Delete,SLLS_Min,SLLS_Max,SLLS_Pred,SLLS_Succ,DLLU_Search,DLLU_Insert,DLLU_Delete,DLLU_Min,DLLU_Max,DLLU_Pred,DLLU_Succ,DLLS_Search,DLLS_Insert,DLLS_Delete,DLLS_Min,DLLS_Max,DLLS_Pred,DLLS_Succ
2700,2700,1,2700,2700,2700,2700,2700,11,2700,2700,1,1,1,1,2700,1,2700,2700,2700,2700,2700,2700,2700,2700,1,2700,2700,2700,2700,1,2700,2700,2700,2700,2700,2700,2700,2700,1,2700,2700,2700
2800,2800,1,2800,2800,2800,2800,2800,11,2800,2800,1,1,1,1,2800,1,2800,2800,2800,2800,2800,2800,2800,2800,1,2800,2800,2800,2800,1,2800,2800,2800,2800,2800,2800,2800,2800,1,2800,2800,2800
2900,2900,1,2900,2900,2900,2900,2900,11,2900,2900,1,1,1,1,2900,1,2900,2900,2900,2900,2900,2900,2900,2900,1,2900,2900,2900,2900,1,2900,2900,2900,2900,2900,2900,2900,2900,1,2900,2900,2900
3000,3000,1,3000,3000,3000,3000,3000,11,3000,3000,1,1,1,1,3000,1,3000,3000,3000,3000,3000,3000,3000,3000,1,3000,3000,3000,3000,1,3000,3000,3000,3000,3000,3000,3000,3000,1,3000,3000,3000
3100,3100,1,3100,3100,3100,3100,3100,11,3100,3100,1,1,1,1,3100,1,3100,3100,3100,3100,3100,3100,3100,3100,1,3100,3100,3100,3100,1,3100,3100,3100,3100,3100,3100,3100,3100,1,3100,3100,3100
3200,3200,1,3200,3200,3200,3200,3200,11,3200,3200,1,1,1,1,3200,1,3200,3200,3200,3200,3200,3200,3200,3200,1,3200,3200,3200,3200,1,3200,3200,3200,3200,3200,3200,3200,3200,1,3200,3200,3200
3300,3300,1,3300,3300,3300,3300,3300,11,3300,3300,1,1,1,1,3300,1,3300,3300,3300,3300,3300,3300,3300,3300,1,3300,3300,3300,3300,1,3300,3300,3300,3300,3300,3300,3300,3300,1,3300,3300,3300
3400,3400,1,3400,3400,3400,3400,3400,11,3400,3400,1,1,1,1,3400,1,3400,3400,3400,3400,3400,3400,3400,3400,1,3400,3400,3400,3400,1,3400,3400,3400,3400,3400,3400,3400,3400,1,3400,3400,3400
3500,3500,1,3500,3500,3500,3500,3500,11,3500,3500,1,1,1,1,3500,1,3500,3500,3500,3500,3500,3500,3500,3500,1,3500,3500,3500,3500,1,3500,3500,3500,3500,3500,3500,3500,3500,1,3500,3500,3500
3600,3600,1,3600,3600,3600,3600,3600,11,3600,3600,1,1,1,1,3600,1,3600,3600,3600,3600,3600,3600,3600,3600,1,3600,3600,3600,3600,1,3600,3600,3600,3600,3600,3600,3600,3600,1,3600,3600,3600
